hsn8,commodity,chapter,exp_usd_mn_fy25,exp_usd_mn_fy26,imp_usd_mn_fy25,imp_usd_mn_fy26,net_usd_mn_fy25,net_usd_mn_fy26,net_change_usd_mn
59031090,"OTHR FABRC IMPRGNTD, LAMNTD PLTD          AND COATED WITH PVC",59,76.71,80.66,93.9,105.04,-17.19,-24.38,-7.19
39201019,OTHER SHEETS OF POLEYTHYLENE:,39,74.41,87.8,108.81,104.74,-34.4,-16.94,17.46
29224990,OTHER AMINO ACIDS AND THR ESTERS CNTNG NOT  MORE THAN ONE KIND OXGN FN.,29,156.2,164.99,115.93,104.27,40.27,60.72,20.45
29372900,OTHR STEROIDAL HORMONS THR DRVTVS AND     STRCTL ANLGES,29,117.05,123.15,108.45,103.98,8.6,19.17,10.57
29181400,CITRIC ACID,29,10.0,6.74,106.43,103.51,-96.43,-96.77,-0.34
29212990,"OTHER ACYLC PLYAMINS THR DRVTVS, SALTS    THEREOF",29,34.19,31.48,94.06,102.24,-59.87,-70.76,-10.89
55092100,SINGLE YRN CNTNG 85% OR MORE BY WT        OF POLYSTER STAPLE FIBRES,55,33.53,32.27,78.37,101.87,-44.84,-69.6,-24.76
29181990,"OTHER CARBOXYLC ACIDS WITH ADDTNL OXYGN   FUNCTN, THEIR ANYDRIDS, HALIDES, PEROXIDES AND PEROXY ACIDS AND THEIR HALOGENT",29,89.1,148.08,69.26,101.68,19.84,46.4,26.56
29163990,"OTHER UNSTRD ACYCLIC MONOCRBOXYLC ACDS,   CYCLIC MONOCRBOXYLC ACDS, THR ANHYDRDS,   HLDS,PEROXIDES  AND PEROXYACDS; THR",29,89.7,94.04,94.53,99.71,-4.83,-5.67,-0.84
29053200,"PRPPYLENE GLYCOL (PROPANE-1,2-DIOL)",29,6.07,4.89,109.94,99.31,-103.87,-94.42,9.45
29152990,OTHER SALTS OF ACETIC ACID,29,16.7,11.23,61.19,94.5,-44.49,-83.27,-38.78
29225090,OTHER FRUSEMIDE AMINODIAL DOMPERIDONE,29,152.51,168.28,97.87,94.46,54.64,73.82,19.18
55032000,STAPLE FIBRES OF POLYESTER NT CRD/CMBD,55,288.56,200.03,81.6,94.04,206.96,105.99,-100.97
55021090,OTHERS-OF-OF CELLULOSE ACETATE:,55,0.03,0.01,84.52,93.99,-84.49,-93.98,-9.49
39053000,PV ALCHL W/N CNTNG UNHYDROLYED ACTATE GRPS,39,3.01,3.37,98.32,93.02,-95.31,-89.65,5.66
29359090,OTHERS-OF-OTHERS-OF-SULPHONAMIDES,29,290.72,291.11,88.04,92.91,202.68,198.2,-4.48
39059990,OTHERS POLYMERS OF VINYL ACETATE/OF OTHR  VINYL ESTRS AND OTHR VINYL POLYMERS IN PRMRY FORMS EXCL POLY/VINYL ACETATE COP,39,17.26,16.33,90.48,91.39,-73.22,-75.06,-1.84
29411090,OTHER PENICILLINS AND THR DRVTVS WTH A      PENTCILLIANIC ACID STRCTR SLTS THEREOF,29,83.37,65.17,82.81,91.3,0.56,-26.13,-26.69
39061090,OTHER POLY METYL METHACRYLATES,39,5.58,5.37,98.72,90.98,-93.14,-85.61,7.53
29241990,"OTHERS-OF-OTHER ACYCLIC AMIDES AND THR DRVTVS,SALTS",29,0.0,251.86,0.0,90.92,0.0,160.94,160.94
29171400,MALEIC ANHYDRIDE,29,0.61,0.05,100.87,90.91,-100.26,-90.86,9.4
54024600,"YARN OF POLYESTER,PRTLY ORNTD,UNTWSTD OR  WTH A TWIST <= 50 TURNS PER MTR, SINGLE",54,81.87,66.14,44.66,90.85,37.21,-24.71,-61.92
39205119,OTHER SHEETS OF PLYMTHYL METHACRYLTE,39,1.41,1.48,104.42,90.57,-103.01,-89.09,13.92
39031990,OTHER POLYSTYRENE NES,39,49.49,44.0,67.93,90.38,-18.44,-46.38,-27.94
39174000,FITTINGS FOR TUBES PIPES AND HOSES OF PLSTC,39,67.25,60.04,74.31,89.54,-7.06,-29.5,-22.44
39211900,OTHR PLTES SHTS ETC OF OTHR PLSTCS CELULR,39,15.63,24.94,84.31,89.49,-68.68,-64.55,4.13
29142990,OTHER CYCLANIC ETC KETONES WITHOUT OTHER  OXYGN FN.,29,122.8,115.25,102.7,89.48,20.1,25.77,5.67
39081041,FLAKE(CHIP),39,0.3,0.17,102.6,89.23,-102.3,-89.06,13.24
29141100,ACETONE,29,15.32,11.98,133.83,87.41,-118.51,-75.43,43.08
62052090,OF COTTON: OTHER,62,709.45,636.61,84.24,86.86,625.21,549.75,-75.46
29322090,OTHER LACTONES,29,148.92,137.2,84.55,86.21,64.37,50.99,-13.38
39229000,OTHR SANITARY ARTICLES,39,11.05,9.55,79.64,86.08,-68.59,-76.53,-7.94
29051620,2-ETHYL HEXANOL,29,0.48,0.82,112.07,85.36,-111.59,-84.54,27.05
39205111,"SHTS OF PLYMTHYL METHACRYLTE RIGID, PLAIN",39,6.69,4.17,83.39,85.22,-76.7,-81.05,-4.35
63090000,WORN CLOTHING AND OTHER WORN ARTICLES,63,79.05,83.1,81.93,84.93,-2.88,-1.83,1.05
29061990,"OTHER CYCLANIC, CYCLENIC OR CYCLOTERPENIC ALCOHOLS",29,63.76,63.14,72.38,84.9,-8.62,-21.76,-13.14
29054500,GLYCEROL,29,19.03,25.39,57.71,84.66,-38.68,-59.27,-20.59
60064300,OTHR KNITD OR CROCHETD FBRCS OF ARTIFCL   FIBRES OF DIFFRNT COLR,60,0.0,0.75,28.77,83.87,-28.77,-83.12,-54.35
29332990,OTHER COMPNDS CNTNG AN UNFUSED IMIDAZOLE  RING (W/N HYDRGNTD ) IN STRUCTURE,29,211.28,235.22,80.24,83.05,131.04,152.17,21.13
39219029,"OTHR PLTS,SHTS,FILM FOIL,STRIP ETC, OF    POLYMER OF VINYL CHLORIDE : OTHER",39,4.17,3.6,65.57,82.78,-61.4,-79.18,-17.78
61091000,T-SHIRTS ETC OF COTTON,61,1760.83,1775.6,85.27,82.66,1675.56,1692.94,17.38
53012900,"OTHER FLAX (EXCL BRKN/SCUTCHED,NOT SPUN",53,3.79,6.63,143.58,82.49,-139.79,-75.86,63.93
60053790,"OTHER, DYED - Others",60,4.75,5.06,49.42,82.02,-44.67,-76.96,-32.29
54021990,"OTHERS-OF-OTHERS-OF-HIGH TENACITY YARN OF NYLON OR OTHER POLYAMIDES, WHETHER OR NOT TEXTURED",54,3.61,3.27,78.79,81.06,-75.18,-77.79,-2.61
62046290,OF COTTON: OTHER,62,338.73,395.14,83.73,80.67,255.0,314.47,59.47
55101110,VISCOSE RAYON SPUN YARN,55,48.31,47.53,22.42,80.53,25.89,-33.0,-58.89
29156010,"BUTANOIC ACIDS,THR SLTS AND ESTRS",29,14.23,11.86,69.49,79.84,-55.26,-67.98,-12.72
29161100,ACRYLIC ACID AND ITS SALTS,29,1.13,1.23,68.49,78.77,-67.36,-77.54,-10.18
39123100,CARBOXYMETHYLCELLULOSE AND ITS SALTS,39,14.55,15.04,87.65,77.98,-73.1,-62.94,10.16
29153999,OTHERS-OF-OTHER ESTERS OF ACETIC ACID,29,58.95,48.34,89.37,77.88,-30.42,-29.54,0.88
39069070,SODIUM POLYACRYLATE,39,0.56,0.21,61.87,77.0,-61.31,-76.79,-15.48
29171200,ADIPIC ACID ITS SALTS AND ESTERS,29,3.94,1.89,86.73,75.22,-82.79,-73.33,9.46
39235090,OTHR STOPRS LID CAPSANDOTHR CLSRES OF PLSTCS,39,39.18,43.45,65.4,74.7,-26.22,-31.25,-5.03
29051220,ISOPROPYL ALCOHOL,29,13.58,11.12,136.33,74.17,-122.75,-63.05,59.7
29337100,6-HEXANELACTAM (EPSILON-CAPROLACTAM),29,0.63,0.3,102.64,72.34,-102.01,-72.04,29.97
51012900,OTHR DEGRESD WOOL NT CRBNSD NOR CRDED/CMBD,51,0.14,0.23,63.33,72.31,-63.19,-72.08,-8.89
39139090,OTHER NATRL AND MODFD NATRL POLYMERS NES,39,6.62,6.31,52.55,72.04,-45.93,-65.73,-19.8
39173290,"OTHR TUBE,PIPES AND HOSES  NOT REINFORCED   ORCOMBINED WITH OTHER MATRL WITOUT        FITTINGS",39,2.96,5.36,64.98,71.78,-62.02,-66.42,-4.4
29094990,OTHERS-OF-OTHR ETHR-ALCHLS AND THR HALGNTD SLPHNTDNITRATED OR NITROSATED DERIVATIVES,29,32.15,30.83,62.91,71.44,-30.76,-40.61,-9.85
39032000,STYRENE ACRYLONITRILE (SAN) COPOLYMERS,39,2.94,6.05,71.03,71.01,-68.09,-64.96,3.13
29334990,OTHERS-OF-OTHERS-OF-HETEROCYCLIC COMPOUNDS WITH NITROGEN,29,0.0,186.74,0.0,70.6,0.0,116.14,116.14
54022090,OTHER POLYESTER (EXCL TERYLENE DACRON),54,8.53,12.15,77.8,69.91,-69.27,-57.76,11.51
29012940,TETRADECENE,29,0.26,0.0,50.36,69.66,-50.1,-69.66,-19.56
29094300,MONOBUTYL ETHERS OF ETHYLENE GLYCOL       OR OF DIETHYLENE GLYCOL,29,6.35,9.69,67.15,69.06,-60.8,-59.37,1.43
39209190,OTHERS-OF-OTHR PLTES SHTS ETCOF OTHER PLASTICS:,39,0.5,0.31,61.41,68.96,-60.91,-68.65,-7.74
29371900,OTHER POLYPEPTIDE HORMONES THR DTVTVS AND   STRCTL ANLGES,29,35.1,45.44,46.84,68.85,-11.74,-23.41,-11.67
29121990,OTHER ACYCLIC ALDEHYDS WITHOUT OTHER OXYGN FUNCTION,29,62.06,55.04,73.37,68.1,-11.31,-13.06,-1.75
29224220,MONOSODIUM GLUTAMATE (AZINAMOTO),29,0.7,0.6,57.98,67.9,-57.28,-67.3,-10.02
29391900,"OTHER ALKALOIDS OF OPIUM ANDTHR DRVTVS,SALTS",29,31.64,29.67,60.93,67.61,-29.29,-37.94,-8.65
39191000,"SELF-ADHSV PLTS ETC IN RLS,WDTH < = 20CM",39,36.12,35.7,59.82,66.59,-23.7,-30.89,-7.19
39046990,OTHER FLURO-POLYMERS,39,104.99,97.53,68.04,66.49,36.95,31.04,-5.91
29062990,OTHER AROMATIC ALCOHOL,29,35.64,27.48,57.54,66.49,-21.9,-39.01,-17.11
39231090,BOX CASE CRATE AND SMLR ARTCLS OF PLSTCS NES,39,46.33,51.83,60.07,65.92,-13.74,-14.09,-0.35
59021010,TYRE CORD FBRC OF NYLON/OTHR POLYAMIDES   IMPREGNTD WTH RUBR,59,5.18,6.64,64.67,65.41,-59.49,-58.77,0.72
29389090,OTHER GLYCOSIDES NTRL/RPRDCD BY SYNTHSIS ANDTHR SLTS ETHRS DRVTVS,29,49.77,75.82,77.4,64.53,-27.63,11.29,38.92
39173990,OTHR TUBES PIPES AND HOSES  NES,39,44.7,37.26,61.62,64.52,-16.92,-27.26,-10.34
39041010,EMULSION GRADE PVC RESIN / PVC PASTE RESIN / PVC DISPERSION RESIN,39,0.19,0.21,77.24,64.5,-77.05,-64.29,12.76
29189990,OTHERS-OF-OTHERS-OF-CRBOXYLC ACDS WTH ADDTNL OXYGN FNCTNANHYDRDS HALDS PEROXIDES AND PEROXYACSDSTHRHALGNTD SLPHNTD NITRTD/NITR,29,216.94,241.34,72.64,63.94,144.3,177.4,33.1
62121000,BRASSIERES,62,65.62,43.11,49.47,62.87,16.15,-19.76,-35.91
29400000,SUGRS CHMCLY PURE OTHR THN SUCROSE        LACTOSEMALTOSE ETC SUGR ETHRS AND SUGRESTRS AND THR  SLTS BESIDES HDG NO. 2937,29,24.8,37.6,58.92,62.05,-34.12,-24.45,9.67
